Tick,Price_ItemMarket,Price_Bazaar
1707178489,$710,$874
1707178499,$710,$874
1707178510,$710,$874
1707178521,$710,$800
1707178531,$710,$800
1707178542,$710,$800
1707178552,$710,$800
1707178563,$710,$800
1707178574,$710,$800
1707178585,$710,$800
1707178595,$710,$800
1707178606,$710,$800
1707178617,$700,$795
1707178627,$700,$795
1707178638,$700,$795
1707178649,$700,$795
1707178660,$700,$795
1707178670,$700,$795
1707178681,$700,$795
1707178691,$700,$795
1707178702,$700,$795
1707178713,$700,$795
1707178724,$700,$795
1707178734,$700,$795
1707178745,$700,$795
1707178756,$700,$795
1707178766,$700,$795
1707178777,$700,$795
1707178788,$700,$795
1707178798,$700,$795
1707178809,$700,$795
1707178820,$700,$795
1707178831,$700,$795
1707178842,$700,$699
1707178852,$700,$699
1707178863,$700,$699
1707178874,$700,$699
1707178884,$700,$699
1707178895,$700,$699
1707178906,$700,$699
1707178917,$700,$699
1707178928,$700,$699
1707178938,$700,$699
1707178949,$700,$699
1707178960,$700,$699
1707178971,$700,$795
1707178981,$700,$795
1707178992,$700,$795
1707179003,$700,$795
1707179013,$700,$795
1707179024,$700,$795
1707179035,$700,$795
1707179046,$700,$795
1707179056,$700,$795
1707179067,$710,$800
1707179078,$710,$800
1707179089,$710,$800
1707179099,$710,$800
1707179110,$710,$800
1707179121,$710,$800
1707179132,$700,$800
1707179143,$700,$800
1707179153,$700,$800
1707179164,$700,$800
1707179175,$700,$800
1707179186,$700,$800
1707179197,$710,$800
1707179208,$710,$800
1707179218,$710,$800
1707179227,$710,$800
1707179238,$710,$800
1707179248,$710,$800
1707179259,$710,$800
1707179270,$710,$800
1707179281,$710,$800
1707179292,$710,$799
1707179303,$710,$799
1707179314,$710,$799
1707179324,$650,$799
1707179335,$650,$799
1707179346,$650,$799
1707179357,$650,$799
1707179367,$650,$799
1707179378,$650,$799
1707179389,$650,$799
1707179399,$650,$799
1707179410,$650,$799
1707179421,$650,$799
1707179432,$650,$799
1707179443,$650,$799
1707179453,$645,$799
1707179464,$645,$799
1707179475,$645,$799
1707179485,$645,$700
1707179496,$645,$700
1707179507,$645,$700
1707179517,$650,$799
1707179528,$650,$799
1707179539,$650,$799
1707179550,$650,$799
1707179561,$650,$799
1707179571,$650,$799
1707179582,$650,$799
1707179593,$650,$799
1707179603,$650,$799
1707179614,$710,$800
1707179625,$710,$800
1707179635,$710,$800
1707179646,$710,$800
1707179657,$710,$800
1707179668,$710,$800
1707179678,$710,$800
1707179689,$710,$800
1707179700,$710,$800
1707179710,$710,$800
1707179721,$710,$800
1707179731,$710,$800
1707179742,$700,$800
1707179753,$700,$800
1707179763,$700,$800
1707179774,$700,$800
1707179785,$700,$800
1707179796,$700,$800
1707179807,$700,$800
1707179817,$700,$800
1707179828,$700,$800
1707179839,$100,$800
1707179850,$100,$800
1707179860,$100,$800
1707179871,$100,$800
1707179882,$100,$800
1707179893,$100,$800
1707179903,$100,$800
1707179914,$100,$800
1707179925,$100,$800
1707179936,$8,$800
1707179946,$8,$800
1707179957,$8,$800
1707179968,$695,$800
1707179978,$695,$800
1707179989,$695,$800
1707180000,$695,$800
1707180011,$695,$800
1707180021,$695,$800
1707180032,$690,$800
1707180043,$690,$800
1707180053,$690,$800
1707180064,$690,$700
1707180075,$690,$700
1707180086,$690,$700
1707180097,$690,$700
1707180107,$690,$700
1707180118,$690,$700
1707180129,$10,$700
1707180140,$10,$700
1707180150,$10,$700
1707180161,$10,$700
1707180172,$10,$700
1707180183,$10,$700
1707180194,$690,$700
1707180205,$690,$700
1707180215,$690,$700
1707180226,$690,$700
1707180237,$690,$700
1707180247,$690,$700
1707180258,$690,$600
1707180269,$690,$600
1707180279,$690,$600
1707180290,$690,$600
1707180300,$690,$600
1707180311,$690,$600
1707180322,$690,$600
1707180333,$690,$600
1707180343,$690,$600
1707180354,$690,$600
1707180365,$690,$600
1707180375,$690,$600
1707180386,$690,$600
1707180397,$690,$600
1707180407,$690,$600
1707180418,$690,$800
1707180429,$690,$800
1707180439,$690,$800
1707180450,$695,$849
1707180461,$695,$849
1707180471,$695,$849
1707180482,$695,$874
1707180493,$695,$874
1707180503,$695,$874
1707180514,$695,$883
1707180525,$695,$883
1707180535,$695,$883
1707180546,$695,$870
1707180557,$695,$870
1707180568,$695,$870
1707180578,$695,$870
1707180589,$695,$870
1707180600,$695,$870
1707180611,$700,$870
1707180622,$700,$870
1707180632,$700,$870
1707180643,$710,$870
1707180654,$710,$870
1707180664,$710,$870
1707180675,$710,$860
1707180686,$710,$860
1707180696,$710,$860
1707180707,$710,$860
1707180718,$710,$860
1707180729,$710,$860
1707180739,$710,$870
1707180750,$710,$870
1707180761,$710,$870
1707180772,$710,$655
1707180782,$710,$655
1707180793,$710,$655
1707180804,$710,$873
1707180814,$710,$873
1707180825,$710,$873
1707180836,$710,$690
1707180847,$710,$690
1707180857,$710,$690
1707180868,$710,$690
1707180879,$710,$690
1707180889,$710,$690
1707180900,$710,$850
1707180911,$710,$850
1707180921,$710,$850
1707180932,$500,$800
