Tick,Price_ItemMarket,Price_Bazaar
1707267376,690,700
1707267387,690,700
1707267398,690,700
1707267408,690,650
1707267419,690,650
1707267430,690,650
1707267441,690,700
1707267451,690,700
1707267462,690,700
1707267473,690,700
1707267484,690,700
1707267494,690,700
1707267505,690,700
1707267516,690,700
1707267526,690,700
1707267537,666,700
1707267548,666,700
1707267558,666,700
1707267569,666,700
1707267579,666,700
1707267590,666,700
1707267601,666,700
1707267612,666,700
1707267622,666,700
1707267633,666,700
1707267644,666,700
1707267655,666,700
1707267666,666,700
1707267676,666,700
1707267687,666,700
1707267698,666,700
1707267708,666,700
1707267719,666,700
1707267730,666,700
1707267740,666,700
1707267751,666,700
1707267762,666,700
1707267772,666,700
1707267783,666,700
1707267794,666,700
1707267804,666,700
1707267815,666,700
1707267826,666,688
1707267836,666,688
1707267847,666,688
1707267857,666,688
1707267868,666,688
1707267879,666,688
1707267889,666,700
1707267900,666,700
1707267911,666,700
1707267921,666,700
1707267932,666,700
1707267943,666,700
1707267953,666,700
1707267964,666,700
1707267975,666,700
1707267985,666,700
1707267996,666,700
1707268007,666,700
1707268017,650,700
1707268028,650,700
1707268039,650,700
1707268049,650,700
1707268060,650,700
1707268071,650,700
1707268082,650,700
1707268092,650,700
1707268103,650,700
1707268114,650,700
1707268124,650,700
1707268135,650,700
1707268146,650,700
1707268156,650,700
1707268167,650,700
1707268178,666,700
1707268188,666,700
1707268199,666,700
1707268210,666,700
1707268220,666,700
1707268231,666,700
1707268242,666,656
1707268252,666,656
1707268263,666,656
1707268274,666,700
1707268285,666,700
1707268295,666,700
1707268306,650,705
1707268317,650,705
1707268328,650,705
1707268338,650,869
1707268349,650,869
1707268359,650,869
1707268370,650,869
1707268381,650,869
1707268391,650,869
1707268402,600,869
1707268413,600,869
1707268423,600,869
1707268434,600,869
1707268445,600,869
1707268455,600,869
1707268466,688,869
1707268476,688,869
1707268487,688,869
1707268498,688,869
1707268508,688,869
1707268519,688,869
1707268530,688,869
1707268540,688,869
1707268551,688,869
1707268561,688,850
1707268572,688,850
1707268583,688,850
1707268594,688,850
1707268604,688,850
1707268615,688,850
1707268625,688,888
1707268636,688,888
1707268647,688,888
1707268658,688,888
1707268668,688,888
1707268679,688,888
1707268690,688,650
1707268700,688,650
1707268711,688,650
